transaction_id,customer_id,product_name,category,region,quantity,price,total_amount,order_date
517cb81e-0e25-4b90-a7cc-917c88ee764b,CUST2524,Headphones,Accessories,East,5,32846,164230,2023-11-14
58f6e355-6c01-42cf-b30c-4ce1814568ff,CUST8299,Camera,Electronics,South,4,17926,71704,2023-01-03
e8573195-c8d2-4e59-82dd-ee367da996c4,CUST7926,Headphones,Gadgets,West,2,16342,32684,2023-01-29
c3967b1e-631b-46c0-9d3a-b57487ebc52a,CUST6267,Keyboard,Gadgets,East,3,763,2289,2024-11-25
a3855c33-b931-4c93-946a-7d6d4a1a3865,CUST5816,Mobile,Accessories,North,2,35524,71048,2023-03-11
58f17b42-ddc4-4352-ad67-ba70fead6a3c,CUST8738,Laptop,Electronics,East,5,13801,69005,2023-02-23
29457df2-7574-4d1c-83af-186495cc6efa,CUST8513,Mobile,Gadgets,South,4,39055,156220,2024-03-24
479cad38-fb9f-48f2-94db-524dac0aab70,CUST2090,Laptop,Electronics,West,3,27934,83802,2024-04-21
fbed05a4-b1e9-4fc3-b63c-e2131c07e1f2,CUST4419,Mouse,Electronics,North,2,36343,72686,2023-05-04
d3570015-e827-4490-b383-45d267c0cd64,CUST5279,Headphones,Electronics,West,3,24454,73362,2023-03-26
5adea85f-81d6-4d2f-98e8-3c0f3eb6b004,CUST9507,Monitor,Office,East,3,31453,94359,2023-11-06
8af37b9a-352d-4889-9e72-cfcf77701b2d,CUST7334,Keyboard,Accessories,South,2,46599,93198,2023-04-22
537be22b-ffb3-42c9-9abd-94e23ec8cba4,CUST1877,Tablet,Office,North,2,13259,26518,2024-12-01
bd9e4c70-8d26-4911-9ac7-d903b3770a02,CUST6966,Tablet,Electronics,North,1,39303,39303,2023-08-09
421950f4-1637-4c45-ab51-52a17cb8fc00,CUST8078,Printer,Accessories,North,4,31236,124944,2024-05-18
684f5fcf-6f4b-4922-a2af-a570c9118d91,CUST6158,Smartwatch,Electronics,South,5,42298,211490,2024-06-07
a080e9cb-4c54-46f7-bac3-501a34f14ace,CUST7637,Mouse,Accessories,South,1,42399,42399,2023-07-19
a30e7a21-746b-49e7-82bf-f273d06ad9ec,CUST9361,Headphones,Accessories,North,5,7008,35040,2024-05-31
347ed8a0-0176-4256-9860-f439b66f6c11,CUST4489,Printer,Accessories,North,3,19163,57489,2024-11-22
71e480a4-b6f6-4687-9bc1-349290b918f2,CUST3100,Camera,Accessories,East,1,1392,1392,2024-02-23
adfe8d0b-c962-47e6-a1d1-bc8678abe5b2,CUST7502,Keyboard,Gadgets,West,3,46471,139413,2024-12-29
ce0d8f46-e8a6-424c-9ffe-49cc2cb871ad,CUST5810,Smartwatch,Office,East,5,28068,140340,2023-10-23
61517a6a-af36-4385-9490-1a39ecb78faa,CUST5038,Printer,Accessories,West,2,8798,17596,2024-11-03
9e1c4177-604f-4202-b6c4-fb1d5c5ee6b9,CUST8967,Keyboard,Gadgets,West,5,5829,29145,2024-10-12
8ecaa27b-bc35-4efc-997f-7e590d4b49d9,CUST9835,Smartwatch,Office,East,5,30258,151290,2023-08-01
e28de8d7-c601-405b-81b8-23aa897630a9,CUST5878,Keyboard,Gadgets,North,5,2948,14740,2023-02-15
ef9b36bc-91a9-4b89-980b-458d657b3456,CUST4968,Monitor,Gadgets,South,4,28579,114316,2024-07-24
41d634e4-583b-4f9a-9783-a468cbcae7f8,CUST4680,Headphones,Gadgets,South,3,12069,36207,2024-08-12
54508ef4-3dc8-43bc-98d9-1ecb9f7696de,CUST4111,Mouse,Office,East,5,23779,118895,2023-05-11
7e95a31f-6f9b-4248-99e2-8c6371af75cd,CUST6382,Mobile,Electronics,South,2,32284,64568,2024-03-22
0080fb2e-6c4d-4d8e-83df-70dbf4bf7177,CUST3808,Monitor,Gadgets,West,4,43439,173756,2023-03-31
a650bddc-d4de-4077-8971-bbfb6caefcd4,CUST7643,Keyboard,Accessories,North,1,41973,41973,2023-04-02
8346b119-2df6-45d0-8e1c-cd941f43994d,CUST7400,Headphones,Gadgets,East,1,48683,48683,2023-12-18
2f2face3-a483-4536-9159-dbdaccfa8a17,CUST9923,Tablet,Gadgets,South,2,42971,85942,2024-09-06
8873dfa6-be38-4565-8c46-a221b8533d9b,CUST4571,Tablet,Accessories,West,1,30313,30313,2024-12-10
ca6a99ab-daa2-4302-948b-042f6414e338,CUST2426,Printer,Office,North,2,47125,94250,2024-11-08
a20a37e0-d5f8-433f-a8c0-3f59050d7143,CUST8973,Tablet,Gadgets,North,1,27590,27590,2023-02-26
9119e1e1-a9aa-46ed-99c3-69d6b575ca33,CUST3342,Headphones,Gadgets,West,5,38378,191890,2023-11-11
49195744-2195-44ba-88a9-ddee88750ab1,CUST1037,Headphones,Office,East,5,46495,232475,2024-08-26
d57fdfd2-e725-47d3-844d-e3a794a93db0,CUST6556,Printer,Accessories,East,1,32089,32089,2023-02-13
4c940337-76a3-4ef2-9248-cd1eedcb673d,CUST9083,Printer,Office,South,4,7098,28392,2024-10-31
d5ef13fc-f537-4ee1-b0cf-3e921234436a,CUST3153,Mobile,Office,East,5,20740,103700,2023-04-19
1a67a45a-e038-409b-8856-2c3c38243cb6,CUST2864,Mouse,Accessories,South,3,11039,33117,2024-09-18
3eca637a-2476-4c0d-8b8b-7f91dd919b03,CUST2887,Printer,Gadgets,West,1,30963,30963,2024-03-18
caa9b4b4-b5a7-4594-b684-55c73df902dd,CUST4478,Monitor,Electronics,North,1,35780,35780,2024-02-20
68056c8d-d80c-4d23-83eb-ab851c726722,CUST9932,Tablet,Gadgets,North,4,40519,162076,2024-11-29
